2012-11-28 21:08:33,023 [Launcher:/chat] INFO  org.red5.server.Server - Add mapping global: default host: 127.0.0.1:8088 context: chat
2012-11-28 21:08:33,053 [Launcher:/installer] INFO  org.red5.server.scope.WebScope - Set server [Server@44091520map['/chat' -> 'default', 'localhost:8088/chat' -> 'default', '127.0.0.1:8088/chat' -> 'default', 'localhost/chat' -> 'default']]
2012-11-28 21:08:33,055 [Launcher:/installer] INFO  org.red5.server.Server - Add mapping global: default host: localhost context: installer
2012-11-28 21:08:33,055 [Launcher:/installer] INFO  org.red5.server.Server - Add mapping global: default host: localhost:5080 context: installer
2012-11-28 21:08:33,059 [Launcher:/] INFO  org.red5.server.scope.WebScope - Set server [Server@44091520map['/chat' -> 'default', 'localhost:8088/chat' -> 'default', 'localhost:5080/installer' -> 'default', '127.0.0.1:8088/chat' -> 'default', 'localhost/installer' -> 'default', 'localhost/chat' -> 'default']]
2012-11-28 21:08:33,065 [Launcher:/] INFO  org.red5.server.Server - Add mapping global: default host:  context: 
2012-11-28 21:08:33,066 [Launcher:/] WARN  org.red5.server.scope.Scope - Invalid scope was not added: [WebScope@6c97f621 Depth = 1, Path = '/default', Name = '']
2012-11-28 21:08:33,070 [Launcher:/installer] INFO  org.red5.server.service.Installer - Installer service created
2012-11-28 21:08:41,397 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action connect
2012-11-28 21:08:41,401 [NioProcessor-2] INFO  o.red5.server.net.rtmp.RTMPHandler - Connecting to: [WebScope@152e7cb6 Depth = 1, Path = '/default', Name = 'chat']
2012-11-28 21:08:41,404 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - connect IConnection nombre params=7
2012-11-28 21:08:41,404 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - W3C x-category:session x-event:connect c-ip:127.0.0.1 c-client-id:0
2012-11-28 21:08:41,404 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - appConnect 0
2012-11-28 21:08:41,404 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - ici2
2012-11-28 21:08:41,406 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - ici3
2012-11-28 21:08:41,406 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - connected as :dfdf78webcam=true status=truerole=nsexe=mroom=welcomeworld=world1
2012-11-28 21:08:41,411 [NioProcessor-2] INFO  o.r.server.so.SharedObjectService - Created persistence store org.red5.server.persistence.FilePersistence@31734b48 for shared objects.
2012-11-28 21:08:41,416 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - Client joined app 0
2012-11-28 21:08:41,446 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _error
2012-11-28 21:08:41,447 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action getUserList
2012-11-28 21:08:41,470 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - getUserList called
2012-11-28 21:08:41,478 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:08:41,523 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _error
2012-11-28 21:08:41,604 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action publish
2012-11-28 21:08:41,622 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Provider connect
2012-11-28 21:08:41,622 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Stream start
2012-11-28 21:08:41,624 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Provider connect
2012-11-28 21:08:41,625 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:publish c-ip:127.0.0.1 x-sname:3f53e7f3-7d27-4150-a93d-eccef806dbba x-name:dfdf78
2012-11-28 21:08:41,698 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _error
2012-11-28 21:08:41,708 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _error
2012-11-28 21:08:47,058 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action send_private
2012-11-28 21:08:47,059 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - receive_private 0 <b>dfdf78:</b><font color='undefined'>fsdf</font>
2012-11-28 21:08:47,062 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - received_private 0 <b>dfdf78:</b><font color='undefined'>fsdf</font>
2012-11-28 21:08:47,072 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _result
2012-11-28 21:08:54,388 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action send_private
2012-11-28 21:08:54,389 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - receive_private 0 <b>dfdf78:</b><font color='undefined'>sdfsdf</font>
2012-11-28 21:08:54,390 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - received_private 0 <b>dfdf78:</b><font color='undefined'>sdfsdf</font>
2012-11-28 21:08:54,402 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _result
2012-11-28 21:08:57,347 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action send_private
2012-11-28 21:08:57,348 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - receive_private 0 <b>dfdf78:</b><font color='undefined'>:zzz:</font>
2012-11-28 21:08:57,349 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - received_private 0 <b>dfdf78:</b><font color='undefined'>:zzz:</font>
2012-11-28 21:08:57,353 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _result
2012-11-28 21:09:00,749 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action send_private
2012-11-28 21:09:00,750 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - receive_private 0 <b>dfdf78:</b><font color='#660066'>dsfsd</font>
2012-11-28 21:09:00,751 [NioProcessor-2] INFO  n.freedevelopment.chat.Application - received_private 0 <b>dfdf78:</b><font color='#660066'>dsfsd</font>
2012-11-28 21:09:00,759 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action _result
2012-11-28 21:09:06,254 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:06,259 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action play
2012-11-28 21:09:06,291 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:d972428e-91ba-4850-85d1-7e47b3a36016
2012-11-28 21:09:06,292 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer connect
2012-11-28 21:09:06,296 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:d972428e-91ba-4850-85d1-7e47b3a36016 x-name:dfdf78
2012-11-28 21:09:07,494 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:07,496 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action deleteStream
2012-11-28 21:09:07,497 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer disconnect
2012-11-28 21:09:07,499 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:stop c-ip:127.0.0.1 cs-bytes:4594 sc-bytes:311847 x-sname:d972428e-91ba-4850-85d1-7e47b3a36016
2012-11-28 21:09:07,500 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action play
2012-11-28 21:09:07,507 [pool-4-thread-2] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:eea42428-da5e-4dc5-b9fe-29844303d5e3
2012-11-28 21:09:07,507 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer connect
2012-11-28 21:09:07,512 [pool-4-thread-3] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:eea42428-da5e-4dc5-b9fe-29844303d5e3 x-name:dfdf78
2012-11-28 21:09:07,878 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:07,880 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action deleteStream
2012-11-28 21:09:07,881 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer disconnect
2012-11-28 21:09:07,882 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:stop c-ip:127.0.0.1 cs-bytes:4707 sc-bytes:312264 x-sname:eea42428-da5e-4dc5-b9fe-29844303d5e3
2012-11-28 21:09:07,884 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action play
2012-11-28 21:09:07,890 [pool-4-thread-2] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:f9462386-d547-45f9-8439-eb48b72f0a8e
2012-11-28 21:09:07,890 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer connect
2012-11-28 21:09:07,894 [pool-4-thread-4] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:f9462386-d547-45f9-8439-eb48b72f0a8e x-name:dfdf78
2012-11-28 21:09:08,038 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:08,040 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action deleteStream
2012-11-28 21:09:08,041 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer disconnect
2012-11-28 21:09:08,042 [pool-4-thread-3] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:stop c-ip:127.0.0.1 cs-bytes:4820 sc-bytes:312677 x-sname:f9462386-d547-45f9-8439-eb48b72f0a8e
2012-11-28 21:09:08,043 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action play
2012-11-28 21:09:08,050 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:1cb7b784-d0ca-4bd0-b2d8-61d0de562034
2012-11-28 21:09:08,050 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer connect
2012-11-28 21:09:08,051 [pool-4-thread-2] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:1cb7b784-d0ca-4bd0-b2d8-61d0de562034 x-name:dfdf78
2012-11-28 21:09:08,198 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:08,200 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action deleteStream
2012-11-28 21:09:08,201 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer disconnect
2012-11-28 21:09:08,202 [pool-4-thread-4] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:stop c-ip:127.0.0.1 cs-bytes:4933 sc-bytes:313090 x-sname:1cb7b784-d0ca-4bd0-b2d8-61d0de562034
2012-11-28 21:09:08,203 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action play
2012-11-28 21:09:08,207 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer connect
2012-11-28 21:09:08,207 [pool-4-thread-3] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:e302d912-3e93-4d9c-bd4d-28e9ff5e1735
2012-11-28 21:09:08,209 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:e302d912-3e93-4d9c-bd4d-28e9ff5e1735 x-name:dfdf78
2012-11-28 21:09:08,366 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:08,368 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action deleteStream
2012-11-28 21:09:08,373 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer disconnect
2012-11-28 21:09:08,374 [pool-4-thread-2] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:stop c-ip:127.0.0.1 cs-bytes:5046 sc-bytes:313503 x-sname:e302d912-3e93-4d9c-bd4d-28e9ff5e1735
2012-11-28 21:09:08,375 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action play
2012-11-28 21:09:08,381 [pool-4-thread-4] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:9f7c2aa0-647e-4f4a-8ba3-d658363825c1
2012-11-28 21:09:08,381 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer connect
2012-11-28 21:09:08,385 [pool-4-thread-3] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:play c-ip:127.0.0.1 x-sname:9f7c2aa0-647e-4f4a-8ba3-d658363825c1 x-name:dfdf78
2012-11-28 21:09:08,526 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action createStream
2012-11-28 21:09:08,529 [NioProcessor-2] INFO  o.r.s.n.r.codec.RTMPProtocolDecoder - Action deleteStream
2012-11-28 21:09:08,530 [NioProcessor-2] INFO  o.r.s.stream.ClientBroadcastStream - Consumer disconnect
2012-11-28 21:09:08,531 [pool-4-thread-1] INFO  n.freedevelopment.chat.Application - W3C x-category:stream x-event:stop c-ip:127.0.0.1 cs-bytes:5159 sc-bytes:313916 x-sname:9f7c2aa0-647e-4f4a-8ba3-d658363825c1
